bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
bubble 1 0
insertion 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion 1 0
selection 1 0
quick 1 0
bubble 10 36
insertion 10 19
selection 10 45
quick 10 33
bubble 10 90
insertion 10 33
selection 10 45
quick 10 34
bubble 10 54
insertion 10 29
selection 10 45
quick 10 33
bubble 10 63
insertion 10 29
selection 10 45
quick 10 52
bubble 10 63
insertion 10 28
selection 10 45
quick 10 39
bubble 10 72
insertion 10 40
selection 10 45
quick 10 35
bubble 10 72
insertion 10 35
selection 10 45
quick 10 35
bubble 10 54
insertion 10 19
selection 10 45
quick 10 46
bubble 10 81
insertion 10 31
selection 10 45
quick 10 36
bubble 10 63
insertion 10 35
selection 10 45
quick 10 40
bubble 100 8910
insertion 100 2859
selection 100 4950
quick 100 972
bubble 100 8217
insertion 100 2425
selection 100 4950
quick 100 954
bubble 100 9405
insertion 100 2464
selection 100 4950
quick 100 1050
bubble 100 9306
insertion 100 2749
selection 100 4950
quick 100 951
bubble 100 8019
insertion 100 2737
selection 100 4950
quick 100 877
bubble 100 9603
insertion 100 2757
selection 100 4950
quick 100 1018
bubble 100 8910
insertion 100 2561
selection 100 4950
quick 100 1035
bubble 100 9009
insertion 100 2584
selection 100 4950
quick 100 1232
bubble 100 9207
insertion 100 2676
selection 100 4950
quick 100 891
bubble 100 8316
insertion 100 2491
selection 100 4950
quick 100 984
bubble 1000 967032
insertion 1000 248322
selection 1000 499500
quick 1000 16394
bubble 1000 957042
insertion 1000 246449
selection 1000 499500
quick 1000 16956
bubble 1000 973026
insertion 1000 252672
selection 1000 499500
quick 1000 15861
bubble 1000 959040
insertion 1000 253588
selection 1000 499500
quick 1000 16443
bubble 1000 973026
insertion 1000 258332
selection 1000 499500
quick 1000 16526
bubble 1000 975024
insertion 1000 243086
selection 1000 499500
quick 1000 15522
bubble 1000 994005
insertion 1000 246061
selection 1000 499500
quick 1000 16898
bubble 1000 927072
insertion 1000 251969
selection 1000 499500
quick 1000 18592
bubble 1000 932067
insertion 1000 243793
selection 1000 499500
quick 1000 17679
bubble 1000 961038
insertion 1000 256814
selection 1000 499500
quick 1000 17206
bubble 10000 98430156
insertion 10000 25071336
selection 10000 49995000
quick 10000 237227
bubble 10000 98620137
insertion 10000 24873327
selection 10000 49995000
quick 10000 235818
bubble 10000 98090190
insertion 10000 25158897
selection 10000 49995000
quick 10000 242406
bubble 10000 97210278
insertion 10000 25108823
selection 10000 49995000
quick 10000 230481
bubble 10000 98780121
insertion 10000 24922516
selection 10000 49995000
quick 10000 234634
bubble 10000 99570042
insertion 10000 24801242
selection 10000 49995000
quick 10000 235856
bubble 10000 98300169
insertion 10000 25308798
selection 10000 49995000
quick 10000 228574
bubble 10000 98890110
insertion 10000 24761729
selection 10000 49995000
quick 10000 244747
bubble 10000 98710128
insertion 10000 24596652
selection 10000 49995000
quick 10000 240700
bubble 10000 98400159
insertion 10000 25112505
selection 10000 49995000
quick 10000 229966
